Source,BaySeg,Basin,Fac Name,Year,Month,TNLoad (tons/mnth),TPLoad (tons/mnth),TSS Load (tons/mnth),BOD Load (tons/mnth),H2O Load (10e6m3/mnth),Entity
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,1,0.200627705,0.006079627,0.051676833,0.036477765,0.330920717,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,1,0.384180712,0.069851039,0.593733828,0.419106231,0.316838984,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,2,0.256571127,0.007126976,0.057015806,0.035634879,0.387929022,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,2,0.238344762,0.039724127,0.317793017,0.198620635,0.180185611,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,3,0.504479723,0.008407995,0.046243975,0.042039977,0.457656311,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,3,0.41393208,0.041393208,0.227662644,0.20696604,0.187756435,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,4,0.5205029,0.011829611,0.051261649,0.039432038,0.429265721,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,4,0.358017868,0.048820618,0.211556013,0.162735395,0.147631068,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,5,0.537852997,0.012223932,0.069268947,0.044821083,0.443574578,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,5,0.341493966,0.046567359,0.263881701,0.170746983,0.140817326,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,6,0.746955461,0.006384235,0.028729056,0.028729056,0.347500822,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,6,1.46461855,0.075108644,0.337988896,0.337988896,0.34068708,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,7,0.347702948,0.000905476,0.006338335,0.008149288,0.098572129,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,7,5.877835541,0.09184118,0.642888262,0.826570623,0.833169181,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,8,0.645734045,0.003363198,0.030268783,0.033631982,0.366125049,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,8,1.572941905,0.049154435,0.442389911,0.491544345,0.445921534,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,9,0.049571705,0.000751086,0.004506519,0.003254708,0.027254966,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,9,3.552638843,0.322967168,1.937803005,1.399524393,0.976636296,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,10,0.510688704,0.003039814,0.033437951,0.030398137,0.330920717,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,10,1.992048137,0.071144576,0.782590339,0.711445763,0.645412746,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,11,0.740571226,0.003630251,0.036302511,0.036302511,0.395197013,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,11,1.234285377,0.036302511,0.363025111,0.363025111,0.329330844,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2022,12,0.46567359,0.006467689,0.05174151,0.048507666,0.352043316,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2022,12,0.776122651,0.064676888,0.5174151,0.485076657,0.29336943,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2023,1,0.554927695,0.00249006,0.040552409,0.033793674,0.387247648,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2023,1,0.807167557,0.021731434,0.353911929,0.294926607,0.281634653,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2023,2,0.438133754,0.004381338,0.036803235,0.026872204,0.317974608,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2023,2,0.584178339,0.0350507,0.294425883,0.214977629,0.211983072,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2023,3,0.577435252,0.005277634,0.051534544,0.027940415,0.337961583,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2023,3,0.761893735,0.041781269,0.407981807,0.221194955,0.222960767,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2023,4,0.788640758,0.021280782,0.056957388,0.030669363,0.34068708,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2023,4,0.788640758,0.127684694,0.341744328,0.184016177,0.17034354,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2023,5,0.534360445,0.028565194,0.062342052,0.032985213,0.359084182,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2023,5,0.48895727,0.156828517,0.342270089,0.181095285,0.164286881,Bradenton
