Year,Month,D-001 Average Daily Flow (ADF) (mgd),R-001 (MGD),R-002 (MGD),R-003 (MGD),BOD ,BOD  Unit,QBOD,TSS,TSS Unit,QTSS,Total N,Total N Unit,Q Total N,NO2+NO3,NO2+NO3 Unit,Q NO2+NO3,NH4,NH4 Unit,Q NH4,TKN,TKN Unit,Q TKN,Organic N,Organic N Unit,Q Organic N,Total P,Total P Unit,Q Total P,PO4,PO4 Unit,Q PO4,NH3,Other N Unit,Q Other N,Other P (species),Other P Unit,Q Other P
2012,1,46.8,2.99,0.5,3.77,1.8,mg/L,,0.58,mg/L,,1.99,mg/L,,0.96,mg/L,,, ,,1.02,mg/L,,, ,,2.23,mg/L,,,,,0.06,mg/L,,,,
2012,2,46.9,3.05,0.52,3.75,2,mg/L,,0.73,mg/L,,2.23,mg/L,,1,mg/L,,, ,,1.24,mg/L,,, ,,2.38,mg/L,,,,,0.06,mg/L,,,,
2012,3,46.5,3.46,0.54,3.67,1.5,mg/L,,0.64,mg/L,,2.05,mg/L,,0.9,mg/L,,, ,,1.16,mg/L,,, ,,2.44,mg/L,,,,,0.07,mg/L,,,,
2012,4,46.3,3.78,0.52,3.67,1.8,mg/L,,0.78,mg/L,,2.53,mg/L,,1.38,mg/L,,, ,,1.14,mg/L,,, ,,2.46,mg/L,,,,,0.09,mg/L,,,,
2012,5,45.4,4.07,0.68,3.6,2.4,mg/L,,0.78,mg/L,,2.47,mg/L,,1.3,mg/L,,, ,,1.17,mg/L,,, ,,2.85,mg/L,,,,,0.08,mg/L,,,,
2012,6,56.3,3.03,0.62,3.41,1.7,mg/L,,1.17,mg/L,,2.73,mg/L,,1.59,mg/L,,, ,,1.14,mg/L,,, ,,2.43,mg/L,,,,,0.07,mg/L,,,,
2012,7,64.2,3.34,0.31,3.46,1.5,mg/L,,0.74,mg/L,,2.62,mg/L,,1.5,mg/L,,, ,,1.12,mg/L,,, ,,1.58,mg/L,,,,,0.07,mg/L,,,,
2012,8,72.3,2.99,0.1,3.61,1.6,mg/L,,0.72,mg/L,,2.63,mg/L,,1.5,mg/L,,, ,,1.13,mg/L,,, ,,2.09,mg/L,,,,,0.07,mg/L,,,,
2012,9,77.9,2.94,0.1,3.37,1.9,mg/L,,0.68,mg/L,,2.3,mg/L,,1.07,mg/L,,, ,,1.23,mg/L,,, ,,1.54,mg/L,,,,,0.1,mg/L,,,,
2012,10,61.8,3.22,0.1,3.46,1.7,mg/L,,0.65,mg/L,,2.11,mg/L,,1.02,mg/L,,, ,,1.09,mg/L,,, ,,1.83,mg/L,,,,,0.09,mg/L,,,,
2012,11,51,3.74,0.14,3.39,1.5,mg/L,,0.69,mg/L,,2.02,mg/L,,0.98,mg/L,,, ,,1.03,mg/L,,, ,,2.15,mg/L,,,,,0.08,mg/L,,,,
