Source,BaySeg,Basin,Fac Name,Year,Month,TNLoad (tons/mnth),TPLoad (tons/mnth),TSS Load (tons/mnth),BOD Load (tons/mnth),H2O Load (10e6m3/mnth),Entity,, 
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,1,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,2,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,3,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,4,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,5,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,6,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,7,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,8,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,9,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,10,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,11,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2022,12,0.001042333,0.004398028,0.008796057,0.02638817,0.003989824,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,1,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,2,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,3,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,4,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,5,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,6,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,7,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,8,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,9,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,10,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,11,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2023,12,0.003104491,0.012935378,0.025870755,0.077612265,0.011734777,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2024,1,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2024,2,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2024,3,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2024,4,0.007435756,0.012518107,0.025036215,0.075108644,0.011356236,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2024,5,0,0,0,0,0,Alpha/Owens Corning,,
PS - Industrial,2,02303000,Alpha/Owens Corning,2024,6,0,0,0,0,0,Alpha/Owens Corning,,
