year,month,bayseg,basin,entity,CLUCSID,tnloadtons,tploadtons,tssloadtons,bodloadtons
2022,1,1,02306647,FDACS (Agriculture),8,0.0119746502,0.0001282958,0.1306125225,0.0169057487
2022,1,1,02306647,FDACS (Agriculture),10,0.0005845655,0.000236482,0.0023302326,0.0013538879
2022,1,1,02306647,FDACS (Agriculture),11,0.0002687493,0.000159137,0.0017924848,0.000898014
2022,1,1,02306647,HILLSBOROUGH,1,0.0233421054,0.0051046751,0.2706819732,0.065242838
2022,1,1,02306647,HILLSBOROUGH,2,0.1270465171,0.0257728082,2.5414628135,0.5082706772
2022,1,1,02306647,HILLSBOROUGH,3,0.1537341331,0.036231945,5.8065692947,0.9823718143
2022,1,1,02306647,HILLSBOROUGH,4,0.0545931702,0.0104328674,2.8506677071,0.5824128738
2022,1,1,02306647,HILLSBOROUGH,5,0.0355017289,0.0077053811,2.5041460672,0.2513011213
2022,1,1,02306647,HILLSBOROUGH,7,0.0193844035,0.0032738512,0.4039835692,0.1626420722
2022,1,1,02306647,HILLSBOROUGH,9,0.000160026,1.7402602E-6,0.0017476744,0.0002251903
2022,1,1,02306647,HILLSBOROUGH,15,0.00140211,0.0002455701,0.0195829159,0.0055775789
2022,1,1,02306647,HILLSBOROUGH,16,0,0,0,0
2022,1,1,02306647,HILLSBOROUGH,18,0.0268156482,0.0046083057,0.2346514314,0.1042466244
2022,1,1,02306647,HILLSBOROUGH,20,0.0147887394,0.0025414541,0.1294024646,0.0574921206
2022,1,1,02306647,Tampa,1,0.0000861223,0.0000188341,0.0009987002,0.000240718
2022,1,1,02306647,Tampa,2,0.0000521105,0.0000105712,0.0010424282,0.0002084767
2022,1,1,02306647,Tampa,3,0.0007149448,0.0001684976,0.027003609,0.0045685469
2022,1,1,02306647,Tampa,4,0.00019884,0.0000379987,0.0103827417,0.0021212723
2022,1,1,02306647,Tampa,7,0.0000163937,2.7687438E-6,0.0003416548,0.0001375488
2022,1,1,02306647,Tampa,16,0,0,0,0
2022,2,1,02306647,FDACS (Agriculture),8,0.0160495178,0.0001690182,0.1720702346,0.0222718012
2022,2,1,02306647,FDACS (Agriculture),10,0.000783488,0.0003115438,0.0030698715,0.0017836254
2022,2,1,02306647,FDACS (Agriculture),11,0.0003602022,0.0002096486,0.0023614373,0.0011830526
2022,2,1,02306647,HILLSBOROUGH,1,0.0312852176,0.0067249497,0.3565991204,0.0859515629
2022,2,1,02306647,HILLSBOROUGH,2,0.1702793236,0.0339533535,3.3481483565,0.6696008391
2022,2,1,02306647,HILLSBOROUGH,3,0.2060484994,0.0477323242,7.6496320692,1.2941863866
2022,2,1,02306647,HILLSBOROUGH,4,0.0731707433,0.0137443631,3.7554979548,0.7672765054
2022,2,1,02306647,HILLSBOROUGH,5,0.0475826534,0.0101511456,3.2989869042,0.3310665935
2022,2,1,02306647,HILLSBOROUGH,7,0.0259807446,0.0043130041,0.5322119671,0.2142662816
2022,2,1,02306647,HILLSBOROUGH,9,0.0002144814,2.2926361E-6,0.0023024036,0.0002966679
2022,2,1,02306647,HILLSBOROUGH,15,0.0018792357,0.0003235164,0.025798728,0.0073479578
2022,2,1,02306647,HILLSBOROUGH,16,0,0,0,0
2022,2,1,02306647,HILLSBOROUGH,18,0.0359407762,0.0060710277,0.3091321266,0.1373355385
2022,2,1,02306647,HILLSBOROUGH,20,0.0198212167,0.0033481369,0.1704760924,0.0757406908
2022,2,1,02306647,Tampa,1,0.000115429,0.0000248122,0.0013156975,0.0003171243
2022,2,1,02306647,Tampa,2,0.0000698432,0.0000139266,0.0013733053,0.0002746492
2022,2,1,02306647,Tampa,3,0.0009582342,0.0002219805,0.0355748227,0.0060186491
2022,2,1,02306647,Tampa,4,0.0002665035,0.0000500599,0.013678327,0.0027945852
2022,2,1,02306647,Tampa,7,0.0000219723,3.6475706E-6,0.0004500994,0.0001812081
2022,2,1,02306647,Tampa,16,0,0,0,0
2022,3,1,02306647,FDACS (Agriculture),8,0.0249198997,0.0002648924,0.2696756841,0.0349053004
2022,3,1,02306647,FDACS (Agriculture),10,0.0012165127,0.0004882645,0.0048112313,0.0027953725
2022,3,1,02306647,FDACS (Agriculture),11,0.0005592818,0.0003285701,0.0037009435,0.0018541296
2022,3,1,02306647,HILLSBOROUGH,1,0.0485761936,0.010539623,0.5588770886,0.1347068921
2022,3,1,02306647,HILLSBOROUGH,2,0.2643907265,0.0532131188,5.247358445,1.0494265019
2022,3,1,02306647,HILLSBOROUGH,3,0.31992911,0.0748080993,11.98882402,2.0283031521
2022,3,1,02306647,HILLSBOROUGH,4,0.1136113626,0.0215407419,5.8857738099,1.2025079003
2022,3,1,02306647,HILLSBOROUGH,5,0.0738810328,0.0159093008,5.1703105562,0.5188614423
2022,3,1,02306647,HILLSBOROUGH,7,0.0403400002,0.0067595208,0.834104903,0.3358070976
2022,3,1,02306647,HILLSBOROUGH,9,0.0003330228,3.5931154E-6,0.0036084235,0.0004649504
2022,3,1,02306647,HILLSBOROUGH,15,0.0029178674,0.0005070285,0.0404328479,0.0115160275
2022,3,1,02306647,HILLSBOROUGH,16,0,0,0,0
