bayseg,YEAR,MONTH,entity,facname,source,tnloadtons,tploadtons,tssloadtons,bodloadtons
1,2022,1,Atmospheric Deposition,,Atmospheric Deposition,3.0536434694,0.0583098074,0,0
1,2022,1,Ground Water,,Ground Water,0.5487808818,0.1630811084,0,0
1,2022,1,CHEVAL WEST,,Non-Point Source,0.0034097705,0.0007472953,0.2394695317,0.0585886577
1,2022,1,CLEARWATER,,Non-Point Source,0.2754613477,0.0787478358,13.437117321,2.555264573
1,2022,1,Conservation,,Non-Point Source,0.1588875098,0.0191899685,1.9274462488,0.561380418
1,2022,1,FDACS (Agriculture),,Non-Point Source,0.2111083819,0.0148774995,2.4443830771,0.4052273272
1,2022,1,HERITAGE HARBOR,,Non-Point Source,0.0032073922,0.0007632585,0.3120015629,0.0638234477
1,2022,1,HILLSBOROUGH,,Non-Point Source,1.3803530398,0.310577668,56.747027115,11.262000981
1,2022,1,LARGO,,Non-Point Source,0.1341920474,0.0292147297,5.0568398468,0.9377452691
1,2022,1,MSGP COT,,Non-Point Source,0.0829452914,0.0139193287,2.0778718277,0.668991932
1,2022,1,MSGP PINELLAS,,Non-Point Source,0.1126104834,0.0202094905,3.8824450391,0.9281482294
1,2022,1,MacDill AFB,,Non-Point Source,0.0086387453,0.0014928653,0.1435245982,0.0550407596
1,2022,1,None,,Non-Point Source,0.0004791464,0.0000229045,0.0062437979,0.0014244059
1,2022,1,OLDSMAR,,Non-Point Source,0.1254733525,0.0261124794,3.9808818148,0.7537159797
1,2022,1,PALM BAY,,Non-Point Source,0.0011052491,0.0002494095,0.039540411,0.0068254428
1,2022,1,PARK PLACE,,Non-Point Source,0.013893513,0.0029032843,0.3858748466,0.076407347
1,2022,1,PASCO,,Non-Point Source,0.0099660637,0.0022313118,0.7957085233,0.1795103717
1,2022,1,PINELLAS,,Non-Point Source,0.517229277,0.1456385831,19.422144053,3.7981645395
1,2022,1,PINELLAS PARK,,Non-Point Source,0.0975443034,0.0209802891,4.4356672526,0.7031134138
1,2022,1,SAFETY HARBOR,,Non-Point Source,0.121518367,0.0286580502,3.9280218923,0.7495955254
1,2022,1,ST PETERSBURG,,Non-Point Source,0.0848921439,0.0183934654,3.5001301989,0.6465205373
