BAY_SEG,Year,source,tnload,TN,TN%,,tpload,TP,TP%,,tssload,TSS,TSS%,,bodload,BOD,BOD%,,h2oload10e6m3
1,2017,AD,83.134118,,21.02%,,1.552507053,,2.36%,,,,0.00%,,,,0.00%,,231.238479
1,2017,DPS,63.71577145,,16.11%,,5.406342424,,8.22%,,21.4450208,,0.25%,,37.03584929,,2.15%,,46.18184182
1,2017,GW,0.533532751,,0.13%,,5.133044748,,7.81%,,,,0.00%,,,,0.00%,,48.25693239
1,2017,IPS,2.175880715,,0.55%,,0,,0.00%,,0.995398163,,0.01%,,1.911164473,,0.11%,,0.180602007
1,2017,NPS,245.9880309,395.5473338,62.19%,,53.64089309,65.73278732,81.60%,,8455.601697,8478.042116,99.74%,,1683.596375,1722.543389,97.74%,,210.0844022
1,2018,AD,143.8150162,,26.45%,,2.596767098,,3.28%,,,,0.00%,,,,0.00%,,345.8777033
1,2018,DPS,76.08748745,,13.99%,,6.205788226,,7.83%,,20.59275193,,0.20%,,61.51899167,,2.86%,,52.57596263
1,2018,GW,0.533532751,,0.10%,,5.133044748,,6.47%,,,,0.00%,,,,0.00%,,48.25693239
1,2018,IPS,1.335051968,,0.25%,,0,,0.00%,,0.35785096,,0.00%,,1.137645589,,0.05%,,0.107505701
1,2018,NPS,321.9197024,543.6907908,59.21%,,65.3457666,79.28136667,82.42%,,10496.88236,10517.83296,99.80%,,2089.187881,2151.844518,97.09%,,259.0975451
1,2019,AD,140.6011953,,21.69%,,2.569259341,,2.54%,,,,0.00%,,,,0.00%,,355.3859587
1,2019,DPS,90.37535705,,13.94%,,6.892189728,,6.81%,,51.98332756,,0.39%,,67.1329804,,2.47%,,55.8528018
1,2019,GW,0.533532751,,0.08%,,5.133044748,,5.07%,,,,0.00%,,,,0.00%,,48.25693239
1,2019,IPS,0.740199856,,0.11%,,0,,0.00%,,0.095179342,,0.00%,,0.913721686,,0.03%,,0.086345248
1,2019,NPS,415.9310777,648.1813627,64.17%,,86.68472767,101.2792215,85.59%,,13352.76919,13404.8477,99.61%,,2652.769912,2720.816614,97.50%,,330.6015497
1,2020,AD,130.5450286,,31.94%,,2.27922991,,3.43%,,,,0.00%,,,,0.00%,,279.4464965
1,2020,DPS,68.89077902,,16.85%,,10.41164615,,15.68%,,15.21366868,,0.21%,,31.98891439,,2.18%,,47.43849349
1,2020,GW,0.533532751,,0.13%,,5.133044748,,7.73%,,,,0.00%,,,,0.00%,,48.25693239
1,2020,IPS,0.82407952,,0.20%,,0,,0.00%,,0.135349949,,0.00%,,0.755893389,,0.05%,,0.071430724
1,2020,NPS,207.9630976,408.7565175,50.88%,,48.59408049,66.4180013,73.16%,,7243.868948,7259.217967,99.79%,,1437.288711,1470.033519,97.77%,,176.9543973
1,2021,AD,110.7019847,,23.77%,,2.018898383,,2.34%,,,,0.00%,,,,0.00%,,277.1644052
1,2021,DPS,63.17923292,,13.57%,,14.92656649,,17.32%,,22.69113877,,0.24%,,43.42353036,,2.20%,,48.65739997
1,2021,GW,0.533532751,,0.11%,,5.133044748,,5.96%,,,,0.00%,,,,0.00%,,48.25693239
1,2021,IPS,0.778322499,,0.17%,,0,,0.00%,,0.110939639,,0.00%,,1.065020537,,0.05%,,0.100642749
1,2021,NPS,290.4873732,465.6804461,62.38%,,64.09265515,86.17116477,74.38%,,9612.167459,9634.969537,99.76%,,1927.247229,1971.73578,97.74%,,247.2672717
2,2017,AD,39.31833563,,3.18%,,0.7328389,,0.08%,,,,0.00%,,,,0.00%,,108.6487216
2,2017,DPS,254.0887959,,20.54%,,369.9752482,,40.12%,,75.16847564,,0.40%,,195.4729756,,4.41%,,115.9846563
2,2017,GW,1.622605306,,0.13%,,7.069519003,,0.77%,,,,0.00%,,,,0.00%,,64.18378207
2,2017,IPS,86.16420927,,6.96%,,87.8545471,,9.53%,,294.1487803,,1.58%,,606.137358,,13.68%,,61.68930942
2,2017,NPS,710.2125263,,57.40%,,409.9751325,,44.46%,,17974.14549,,96.46%,,3629.565086,,81.91%,,545.2383859
2,2017,POR,6.994893,,0.57%,,,,0.00%,,,,0.00%,,,,0.00%,,
2,2017,SPR,138.8428498,1237.244215,11.22%,,46.46171479,922.0690005,5.04%,,290.6094637,18634.07221,1.56%,,,4431.17542,0.00%,,64.43548267
2,2018,AD,67.34406315,,3.84%,,1.208557881,,0.11%,,,,0.00%,,,,0.00%,,158.1829608
2,2018,DPS,259.9578471,,14.84%,,316.0004364,,29.58%,,74.34466855,,0.25%,,207.2127839,,2.95%,,119.063566
2,2018,GW,1.622605306,,0.09%,,7.069519003,,0.66%,,,,0.00%,,,,0.00%,,64.18378207
2,2018,IPS,128.2990964,,7.32%,,98.14433702,,9.19%,,465.8578103,,1.58%,,840.6274065,,11.97%,,85.21428119
2,2018,NPS,1132.866966,,64.67%,,592.9770044,,55.51%,,28671.09784,,97.05%,,5974.061349,,85.08%,,914.4264789
2,2018,POR,5.776389,,0.33%,,,,0.00%,,,,0.00%,,,,0.00%,,
2,2018,SPR,155.8103593,1751.677326,8.89%,,52.8186906,1068.218545,4.94%,,332.6768008,29543.97712,1.13%,,,7021.901539,0.00%,,73.6256445
2,2019,AD,64.47183516,,3.97%,,1.177278251,,0.15%,,,,0.00%,,,,0.00%,,162.8244919
2,2019,DPS,295.2821106,,18.16%,,274.290986,,35.20%,,106.2197297,,0.37%,,237.8447349,,3.52%,,125.8433459
2,2019,GW,1.622605306,,0.10%,,7.069519003,,0.91%,,,,0.00%,,,,0.00%,,64.18378207
2,2019,IPS,120.3649669,,7.40%,,91.11803757,,11.69%,,415.5502295,,1.44%,,803.690033,,11.88%,,80.02424504
2,2019,NPS,991.4842044,,60.98%,,398.9736846,,51.21%,,27984.70743,,97.01%,,5721.580204,,84.60%,,848.9634713
2,2019,POR,5.944927,,0.37%,,,,0.00%,,,,0.00%,,,,0.00%,,
2,2019,SPR,146.8339739,1626.004623,9.03%,,6.504799968,779.1343054,0.83%,,341.2346929,28847.71208,1.18%,,,6763.114972,0.00%,,75.10979526
2,2020,AD,61.99403521,,5.15%,,1.083634495,,0.17%,,,,0.00%,,,,0.00%,,133.4773357
2,2020,DPS,300.2326102,,24.93%,,271.162893,,41.83%,,102.6690653,,0.52%,,213.5264422,,4.48%,,121.5976337
2,2020,GW,1.622605306,,0.13%,,7.069519003,,1.09%,,,,0.00%,,,,0.00%,,64.18378207
